unitid,institution name,year,Fac_Total,Fac_AmerIn_AlaNative,FacPer_AmerIn_AlaNative,Fac_Asian,FacPer_Asian,Fac_AfrAmer,FacPer_AfrAmer,Fac_Hispanic,FacPer_Hispanic,Fac_NativeHai_PI,FacPer_NativeHai_PI,Fac_White,FacPer_White,Fac_Two_or_More,FacPer_Two_or_More,Fac_BiPOC,FacPer_BiPOC
234827,Central Washington University,2020,397,1,0.002518892,21,0.052896725,8,0.020151134,26,0.065491184,4,0.010075567,328,0.826196474,6,0.01511335,66,0.166246851
234915,City University of Seattle,2020,31,1,0.032258065,5,0.161290323,2,0.064516129,0,0,0,0,23,0.741935484,0,0,8,0.258064516
235024,Cornish College of the Arts,2020,41,0,0,1,0.024390244,3,0.073170732,2,0.048780488,0,0,29,0.707317073,0,0,6,0.146341463
235097,Eastern Washington University,2020,444,3,0.006756757,29,0.065315315,9,0.02027027,18,0.040540541,0,0,367,0.826576577,8,0.018018018,67,0.150900901
235167,The Evergreen State College,2020,122,3,0.024590164,12,0.098360656,3,0.024590164,8,0.06557377,0,0,87,0.713114754,4,0.032786885,30,0.245901639
235316,Gonzaga University,2020,445,4,0.008988764,22,0.049438202,7,0.015730337,16,0.035955056,0,0,358,0.804494382,3,0.006741573,52,0.116853933
235422,Heritage University,2020,57,4,0.070175439,2,0.035087719,3,0.052631579,6,0.105263158,0,0,38,0.666666667,3,0.052631579,18,0.315789474
235547,Bastyr University,2020,23,0,0,2,0.086956522,0,0,0,0,0,0,17,0.739130435,0,0,2,0.086956522
236133,Northwest University,2020,56,0,0,3,0.053571429,1,0.017857143,0,0,0,0,46,0.821428571,3,0.053571429,7,0.125
236230,Pacific Lutheran University,2020,198,0,0,15,0.075757576,5,0.025252525,12,0.060606061,0,0,160,0.808080808,2,0.01010101,34,0.171717172
236328,University of Puget Sound,2020,227,0,0,13,0.057268722,8,0.035242291,6,0.026431718,0,0,163,0.718061674,4,0.017621145,31,0.136563877
236452,Saint Martin's University,2020,96,1,0.010416667,8,0.083333333,2,0.020833333,2,0.020833333,0,0,66,0.6875,5,0.052083333,18,0.1875
236577,Seattle Pacific University,2020,211,0,0,23,0.109004739,6,0.028436019,9,0.042654028,0,0,144,0.682464455,3,0.014218009,41,0.194312796
236595,Seattle University,2020,529,3,0.005671078,66,0.124763705,20,0.037807183,31,0.058601134,0,0,307,0.580340265,2,0.003780718,122,0.230623819
236896,Walla Walla University,2020,88,0,0,3,0.034090909,2,0.022727273,6,0.068181818,0,0,74,0.840909091,1,0.011363636,12,0.136363636
236939,Washington State University,2020,1330,5,0.003759398,116,0.087218045,14,0.010526316,50,0.037593985,3,0.002255639,706,0.530827068,15,0.011278195,203,0.152631579
236948,University of Washington-Seattle Campus,2020,4720,14,0.002966102,778,0.164830508,93,0.01970339,215,0.045550847,5,0.001059322,2980,0.631355932,91,0.019279661,1196,0.253389831
237011,Western Washington University,2020,657,4,0.00608828,48,0.073059361,10,0.0152207,37,0.056316591,1,0.00152207,447,0.680365297,21,0.03196347,121,0.184170472
237057,Whitman College,2020,178,0,0,9,0.050561798,4,0.02247191,7,0.039325843,1,0.005617978,137,0.769662921,0,0,21,0.117977528
237066,Whitworth University,2020,184,0,0,10,0.054347826,4,0.02173913,0,0,0,0,170,0.923913043,0,0,14,0.076086957
377555,University of Washington-Bothell Campus,2020,211,1,0.004739336,39,0.184834123,9,0.042654028,13,0.061611374,1,0.004739336,113,0.535545024,6,0.028436019,69,0.327014218
377564,University of Washington-Tacoma Campus,2020,273,2,0.007326007,37,0.135531136,8,0.029304029,19,0.06959707,2,0.007326007,157,0.575091575,7,0.025641026,75,0.274725275
380377,Northwest Indian College,2020,26,14,0.538461538,1,0.038461538,0,0,1,0.038461538,1,0.038461538,9,0.346153846,0,0,17,0.653846154
