institute_id,year,gr_total,gr_AmerInd_AlaskNtv,gr_Asian,gr_AfrAmer,gr_Hispanic,gr_Hi_PacIsland,gr_White,gr_2orMore,gr_unknown,gr_nonresAlien,co_total,co_AmerInd_AlaskNtv,co_Asian,co_AfrAmer,co_Hispanic,co_Hi_PacIsland,co_White,co_2orMore,co_unknown,co_nonresAlien
234979,2011,617,4.0,13.0,14.0,105.0,0.0,470.0,0.0,11.0,0.0,183.0,2.0,3.0,4.0,25.0,0.0,146.0,0.0,3.0,0.0
234979,2012,670,5.0,10.0,20.0,176.0,0.0,445.0,0.0,13.0,1.0,157.0,0.0,1.0,2.0,35.0,0.0,117.0,0.0,2.0,0.0
234979,2013,656,6.0,22.0,10.0,160.0,0.0,446.0,0.0,10.0,2.0,173.0,0.0,8.0,1.0,39.0,0.0,122.0,0.0,2.0,1.0
234979,2014,739,4.0,12.0,12.0,207.0,0.0,489.0,10.0,4.0,1.0,182.0,0.0,4.0,2.0,46.0,0.0,127.0,1.0,2.0,0.0
234979,2015,701,1.0,13.0,7.0,224.0,1.0,438.0,9.0,5.0,3.0,206.0,0.0,5.0,1.0,63.0,0.0,133.0,2.0,1.0,1.0
234979,2016,639,8.0,11.0,5.0,176.0,1.0,400.0,15.0,23.0,0.0,171.0,4.0,4.0,0.0,38.0,0.0,120.0,2.0,3.0,0.0
234979,2017,627,5.0,17.0,6.0,229.0,1.0,345.0,14.0,10.0,0.0,186.0,1.0,8.0,1.0,71.0,0.0,100.0,1.0,4.0,0.0
234979,2018,636,6.0,13.0,9.0,240.0,0.0,335.0,21.0,10.0,2.0,187.0,3.0,3.0,3.0,79.0,0.0,90.0,6.0,3.0,0.0
234979,2019,723,6.0,17.0,5.0,286.0,2.0,352.0,36.0,18.0,1.0,201.0,2.0,4.0,0.0,83.0,0.0,94.0,10.0,7.0,1.0
234979,2020,705,5.0,10.0,3.0,277.0,3.0,350.0,28.0,27.0,2.0,230.0,1.0,2.0,1.0,85.0,0.0,124.0,7.0,10.0,0.0
235024,2010,141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,3.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0
235024,2011,163,1.0,2.0,4.0,12.0,0.0,114.0,0.0,24.0,6.0,74.0,0.0,0.0,2.0,5.0,0.0,52.0,0.0,13.0,2.0
235024,2012,147,2.0,11.0,8.0,8.0,0.0,92.0,2.0,21.0,3.0,72.0,0.0,6.0,1.0,4.0,0.0,49.0,2.0,9.0,1.0
235024,2013,173,1.0,5.0,10.0,5.0,0.0,133.0,3.0,14.0,2.0,81.0,0.0,2.0,3.0,2.0,0.0,69.0,3.0,1.0,1.0
235024,2014,205,2.0,11.0,10.0,8.0,2.0,146.0,6.0,15.0,5.0,103.0,2.0,7.0,6.0,5.0,2.0,72.0,4.0,2.0,3.0
235024,2015,190,0.0,8.0,5.0,13.0,1.0,127.0,5.0,29.0,2.0,104.0,0.0,6.0,3.0,7.0,1.0,73.0,4.0,8.0,2.0
235024,2016,209,2.0,15.0,8.0,17.0,0.0,132.0,12.0,19.0,4.0,101.0,1.0,7.0,5.0,7.0,0.0,67.0,7.0,5.0,2.0
235024,2017,213,3.0,5.0,7.0,19.0,1.0,146.0,11.0,18.0,3.0,113.0,2.0,1.0,5.0,12.0,0.0,77.0,6.0,9.0,1.0
235024,2018,164,1.0,11.0,4.0,23.0,1.0,99.0,14.0,6.0,5.0,97.0,0.0,7.0,3.0,16.0,0.0,55.0,8.0,4.0,4.0
235024,2019,166,1.0,9.0,10.0,17.0,1.0,102.0,21.0,4.0,1.0,90.0,1.0,6.0,2.0,6.0,1.0,62.0,9.0,2.0,1.0
235024,2020,160,0.0,8.0,6.0,24.0,1.0,98.0,19.0,4.0,0.0,83.0,0.0,7.0,2.0,12.0,1.0,49.0,12.0,0.0,0.0
235097,2010,1403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.0,10.0,673.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,5.0
235097,2011,1610,26.0,88.0,65.0,142.0,0.0,1124.0,0.0,157.0,8.0,744.0,8.0,40.0,20.0,60.0,0.0,536.0,0.0,78.0,2.0
235097,2012,1412,31.0,49.0,70.0,109.0,7.0,941.0,30.0,167.0,8.0,656.0,10.0,21.0,16.0,47.0,2.0,464.0,10.0,84.0,2.0
235097,2013,1313,21.0,44.0,70.0,112.0,10.0,897.0,47.0,97.0,15.0,594.0,3.0,15.0,14.0,56.0,1.0,437.0,18.0,46.0,4.0
235097,2014,1488,23.0,60.0,78.0,165.0,9.0,1019.0,39.0,82.0,13.0,681.0,11.0,29.0,22.0,71.0,2.0,496.0,15.0,32.0,3.0
235097,2015,1459,24.0,37.0,87.0,185.0,10.0,940.0,49.0,112.0,15.0,668.0,6.0,14.0,30.0,73.0,4.0,468.0,20.0,48.0,5.0
